area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/13263538527
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/ha-long-bay/area/6753479982
La Plage des Pirates,20.87496023368,107.29670899272,15,{},{},"20.8766995,107.2947023,20.8731207,107.2989188",3,0,https://www.thecrag.com/en/climbing/vietnam/area/28776726
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/7500635913
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/7500621450
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/7500629166
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/7500610533
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/7501664766
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/12868261449
Mũi Đôi,12.65002217403,109.46003921257,0,{},{},"12.6517285,109.4578408,12.6480018,109.4616174",3,0,https://www.thecrag.com/en/climbing/vietnam/ninh-binh/area/6737354679
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/7510871613
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/12868261449
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/vietnam/area/14167179456
Luang Prabang,19.92092979803,102.19164695402,19,{},"{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","20.1310725,101.9037702,19.6649128,102.5505902",3,0,https://www.thecrag.com/en/climbing/laos/area/2851606167
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/laos/area/2851613358
Eagle Wall,20.05916311749,102.21399399396,13,{},{},"20.0619498,102.209821,20.055137,102.2193911",3,0,https://www.thecrag.com/en/climbing/laos/area/2851620696
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/polynesia/area/998636409
Mo'orea,-17.53261846479,-149.83040087890,3,"{""5.0"": 1, ""5.2"": 1, ""5.4"": 1, ""5.6"": 1, ""5.7"": 1}","{""Sport"": {""count"": 1, ""pct"": ""33.3%""}, ""Trad"": {""count"": 1, ""pct"": ""33.3%""}, ""Aid"": {""count"": 1, ""pct"": ""33.3%""}}","-17.4622027,-149.931199,-17.6180262,-149.7355051",3,0,https://www.thecrag.com/en/climbing/polynesia/area/2037853923
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/polynesia/area/2497209501
Maupiti,-16.45305235000,-152.26287550000,0,{},{},"-16.4010286,-152.3109407,-16.5050761,-152.2148103",3,0,https://www.thecrag.com/en/climbing/polynesia/area/2497226325
Makatea,-15.84463656230,-148.25476563922,97,{},"{""Sport"": {""count"": 4, ""pct"": ""100.0%""}}","-15.8002033,-148.2995882,-15.8878775,-148.2099497",3,0,https://www.thecrag.com/en/climbing/polynesia/area/2923180788
