area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Solà d’Enclar,42.50158426660,1.50303455829,76,{},"{""Sport"": {""count"": 6, ""pct"": ""85.7%""}, ""Alpine"": {""count"": 1, ""pct"": ""14.3%""}}","42.50307,1.5008502,42.4999673,1.5055279",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830576
Prohibit,42.52793125033,1.56431721172,30,{},{},"42.5286168,1.5631995,42.5274704,1.5650878",2,0,https://www.thecrag.com/en/climbing/europe/area/3435904395
Sant Antoni de la Grella,42.52805227296,1.52060506805,22,{},"{""Sport"": {""count"": 2, ""pct"": ""100.0%""}}","42.5287908,1.5199489,42.5272727,1.5212846",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830864
Roc de la Guilla,42.51429685000,1.55902955000,33,{},"{""Sport"": {""count"": 4, ""pct"": ""100.0%""}}","42.5144224,1.5587372,42.5141713,1.5593219",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830720
Sector Juberri,42.44094733333,1.49499298108,14,{},{},"42.4418341,1.4940548,42.4403614,1.4961791",2,0,https://www.thecrag.com/en/climbing/europe/area/3404324049
Sant Martí de Nagol,42.47480817407,1.49316584333,2,{},{},"42.4749831,1.4929587,42.4745762,1.4933771",2,0,https://www.thecrag.com/en/climbing/europe/area/5411528205
Piràmide,42.50536254991,1.50491627896,39,{},"{""Sport"": {""count"": 3, ""pct"": ""75.0%""}, ""Alpine"": {""count"": 1, ""pct"": ""25.0%""}}","42.506708,1.5014363,42.5041595,1.5084744",2,0,https://www.thecrag.com/en/climbing/europe/area/1846830624
La Cova de Sant Antoni,42.52820106874,1.52151311221,10,{},{},"42.5283369,1.5213431,42.5280641,1.521681",2,0,https://www.thecrag.com/en/climbing/europe/area/11835334779
La Pastisseria,42.56401637381,1.53128589869,18,{},{},"42.5641464,1.5305275,42.5638857,1.5320188",2,0,https://www.thecrag.com/en/climbing/europe/area/6148283535
Encodina,42.62464250000,1.52348090000,15,{},{},"42.6247096,1.5233213,42.6245754,1.5236405",2,0,https://www.thecrag.com/en/climbing/europe/area/3229944627
Creusans,42.63343973108,1.47727619157,4,{},{},"42.6335388,1.477063,42.6333553,1.4775351",2,0,https://www.thecrag.com/en/climbing/europe/area/3435604338
